"Mineral","price_avg"
"Cobalt",42330.499745628
"Copper",9146.14883346124
"Gold",80286028.5290337
"Lithium",126867.790555556
"Nickel",19625.3325115207
"Palladium",56279003.7513431
"Platinum",37086458.7308282
"Silver",978235.799240798
"Zinc",2956.39429009977
