panel,cat,water_impact_B,cost_B
b,"Demand
<1,000 Mt",3017.840014246179,4033.246029258099
b,"Demand
<1,000 Mt",2511.08462011669,4225.305363984677
b,"Demand
<1,000 Mt",1799.574985909173,4801.483368164411
b,"Demand
>1,100 Mt",7562.344582879585,6129.732606939731
b,"Demand
>1,100 Mt",6748.403705324704,6191.029933009073
b,"Demand
>1,100 Mt",5609.2410363953795,6436.219237286672
b,"Demand
>1,100 Mt",4895.852594027957,6742.705867633681
b,"Demand
>1,100 Mt",4079.912357443615,7662.165758674641
b,"Demand
>1,100 Mt",4402.542001364045,4635.330149472392
b,"Demand
>1,100 Mt",4076.104580299525,4681.683450967104
b,"Demand
>1,100 Mt",3479.6920045741326,4867.096656945991
b,"Demand
>1,100 Mt",2860.7547426461715,5098.863164419623
b,"Demand
>1,100 Mt",2187.5190630722286,5794.162686840489
b,"Demand
<1,000 Mt",7036.651763665808,4929.801689204714
b,"Demand
<1,000 Mt",6358.855597070183,4979.099706096782
b,"Demand
<1,000 Mt",5813.217674173664,5176.291773664982
b,"Demand
<1,000 Mt",5640.62962424672,5422.7818581251895
b,"Demand
<1,000 Mt",5570.544484483801,6162.25211150588
b,"Demand
>1,100 Mt",5389.993851453497,4165.726774835763
b,"Demand
>1,100 Mt",4207.390555982699,4207.384042584141
b,"Demand
>1,100 Mt",3191.2181862062375,4374.0131135775755
b,"Demand
>1,100 Mt",2539.143881984198,4582.299452319361
b,"Demand
>1,100 Mt",1704.8488965004628,5207.1584685446805
b,"Demand
>1,100 Mt",5288.609337621524,5738.426106048191
b,"Demand
>1,100 Mt",4881.581513994878,5795.810367108684
b,"Demand
>1,100 Mt",4301.6124587363065,6025.347411350607
b,"Demand
>1,100 Mt",4071.284526151147,6312.268716652994
b,"Demand
>1,100 Mt",3807.467255634673,7173.032632560202
b,"Demand
<1,000 Mt",3341.185112824028,2712.6088411153764
b,"Demand
<1,000 Mt",2733.72480054616,2739.7349295265217
b,"Demand
<1,000 Mt",2059.439681635883,2848.239283171117
b,"Demand
<1,000 Mt",1579.27881047673,2983.86972522688
b,"Demand
<1,000 Mt",970.4402555741816,3390.761051394202
b,"Demand
>1,100 Mt",8152.574308447707,5293.895928513377
b,"Demand
>1,100 Mt",6917.272436446647,5346.834887798521
b,"Demand
>1,100 Mt",5621.328567943486,5558.590724939052
b,"Demand
>1,100 Mt",4862.321081715837,5823.2855213647035
b,"Demand
>1,100 Mt",3672.11402026991,6617.3699106417
b,"Demand
<1,000 Mt",3480.004108707952,3029.8500972942
b,"Demand
<1,000 Mt",2851.0011186173283,3060.1485982671443
b,"Demand
<1,000 Mt",2168.269224371867,3181.342602158907
b,"Demand
<1,000 Mt",1726.0864968695216,3332.8351070236236
b,"Demand
<1,000 Mt",1141.433752570179,3787.3126216177393
b,"Demand
<1,000 Mt",4277.146549729422,3010.757903607986
b,"Demand
<1,000 Mt",3726.081742271857,3040.8654826440556
b,"Demand
<1,000 Mt",2981.4431809143944,3161.2957987883747
b,"Demand
<1,000 Mt",2312.6249804088397,3311.833693968762
b,"Demand
<1,000 Mt",1580.465789791603,3763.447379509991
b,"Demand
>1,100 Mt",4375.329528713428,3172.022952004682
b,"Demand
>1,100 Mt",3421.088625616669,3203.743181524713
b,"Demand
>1,100 Mt",2540.876379205567,3330.6240996048887
b,"Demand
>1,100 Mt",1741.1953152446438,3489.225247205118
b,"Demand
>1,100 Mt",1043.302040831128,3965.02869000582
b,"Demand
>1,100 Mt",3930.710795412319,4100.456775482461
b,"Demand
>1,100 Mt",3282.29224694775,4141.461343237273
b,"Demand
>1,100 Mt",2863.3514841759475,4305.47961425658
b,"Demand
>1,100 Mt",2610.610886686309,4510.502453030696
b,"Demand
>1,100 Mt",1863.8443846632529,5125.5709693530835
b,"Demand
<1,000 Mt",7898.779471442444,4102.5513101468605
b,"Demand
<1,000 Mt",6535.227220514426,4143.576823248325
b,"Demand
<1,000 Mt",5219.916876666376,4307.678875654198
b,"Demand
<1,000 Mt",4420.900438141991,4512.8064411615305
b,"Demand
<1,000 Mt",3672.423776801799,5128.189137683603
b,"Demand
<1,000 Mt",6297.031037632879,3874.761422660787
b,"Demand
<1,000 Mt",5550.953168809728,3913.5090368873753
b,"Demand
<1,000 Mt",4702.650079459703,4068.4994937938113
b,"Demand
<1,000 Mt",4247.970810937448,4262.237564926856
b,"Demand
<1,000 Mt",3996.994607754325,4843.451778326006
b,"Demand
>1,100 Mt",5315.003380711604,4566.1647823356525
b,"Demand
>1,100 Mt",4364.073721933149,4611.82643015898
b,"Demand
>1,100 Mt",3127.702278149588,4794.473021452442
b,"Demand
>1,100 Mt",2544.090808967603,5022.781260569234
b,"Demand
>1,100 Mt",1857.373004757589,5707.705977919557
b,"Demand
<1,000 Mt",3322.4578430595934,2613.9447637391386
b,"Demand
<1,000 Mt",2676.2748914286026,2640.08421137654
b,"Demand
<1,000 Mt",1980.911493681811,2744.6420019261013
b,"Demand
<1,000 Mt",1580.9185253682715,2875.339240113053
b,"Demand
<1,000 Mt",1077.865708348426,3267.430954673936
b,"Demand
<1,000 Mt",4101.822775752553,3466.6416301786567
b,"Demand
<1,000 Mt",3745.7790999875024,3501.308046480429
b,"Demand
<1,000 Mt",2725.1186410226783,3639.973711687575
b,"Demand
<1,000 Mt",2304.764300309909,3813.305793196517
b,"Demand
<1,000 Mt",1419.851275052141,4333.302037723288
b,"Demand
<1,000 Mt",5012.6552901128325,4472.408549760639
b,"Demand
<1,000 Mt",4192.06587660258,4517.132635258206
b,"Demand
<1,000 Mt",3419.500968484661,4696.028977248667
b,"Demand
<1,000 Mt",2983.0573430667696,4919.649404736707
b,"Demand
<1,000 Mt",2307.441075949929,5590.510687200801
b,"Demand
>1,100 Mt",6929.493409407554,5830.999021447411
b,"Demand
>1,100 Mt",6201.630155213451,5889.309011661904
b,"Demand
>1,100 Mt",5689.612868639717,6122.5489725197785
b,"Demand
>1,100 Mt",5497.019429654006,6414.098923592158
b,"Demand
>1,100 Mt",5319.714709849095,7288.748776809249
b,"Demand
>1,100 Mt",4052.00810939924,4094.368070755011
b,"Demand
>1,100 Mt",3742.1248592284182,4135.311751462567
b,"Demand
>1,100 Mt",3093.7125738097925,4299.086474292778
b,"Demand
>1,100 Mt",2450.4665327007538,4503.804877830509
b,"Demand
>1,100 Mt",1701.714984127352,5117.9600884437705
b,"Demand
<1,000 Mt",5541.060834321903,4529.086507788007
b,"Demand
<1,000 Mt",4780.795178513142,4574.377372865897
b,"Demand
<1,000 Mt",4466.484908785463,4755.540833177405
b,"Demand
<1,000 Mt",3859.245602583655,4981.995158566788
b,"Demand
<1,000 Mt",2998.0321937414888,5661.358134735048
b,"Demand
>1,100 Mt",6022.869597054756,3701.473990110991
b,"Demand
>1,100 Mt",4686.64362588718,3738.488730012104
b,"Demand
>1,100 Mt",3452.8930689151325,3886.5476896165414
b,"Demand
>1,100 Mt",2784.7628798400337,4071.621389122099
b,"Demand
>1,100 Mt",1959.0350814971332,4626.842487638768
b,"Demand
>1,100 Mt",5404.214455521519,8798.795364186319
b,"Demand
>1,100 Mt",4751.461814410847,8886.78331782819
b,"Demand
>1,100 Mt",4115.95448436653,9238.735132395625
b,"Demand
>1,100 Mt",3932.54790779174,9678.67490060494
b,"Demand
>1,100 Mt",3865.702846112425,10880.277393422331
b,"Demand
<1,000 Mt",5055.368367617305,3890.724596394167
b,"Demand
<1,000 Mt",4128.539101168779,3929.631842358093
b,"Demand
<1,000 Mt",3316.448091913374,4085.26082621386
b,"Demand
<1,000 Mt",2781.404846648344,4279.797056033559
b,"Demand
<1,000 Mt",2007.532419265143,4863.405745492708
b,"Demand
<1,000 Mt",4632.515563290129,3595.678845999836
b,"Demand
<1,000 Mt",4068.3714448550418,3631.63563445985
b,"Demand
<1,000 Mt",3373.38085158774,3775.4627882998498
b,"Demand
<1,000 Mt",2966.146301167429,3955.246730599836
b,"Demand
<1,000 Mt",2604.808288012472,4494.598557499742
b,"Demand
>1,100 Mt",7414.223700075906,3574.80114879513
b,"Demand
>1,100 Mt",5663.843869745089,3610.549160283098
b,"Demand
>1,100 Mt",3808.460337403581,3753.54120623489
b,"Demand
>1,100 Mt",2851.456867214528,3932.281263674654
b,"Demand
>1,100 Mt",1927.3321336896165,4468.501435993912
b,"Demand
>1,100 Mt",4532.241786327226,5858.197201558792
b,"Demand
>1,100 Mt",4059.97439266177,5916.7791735743685
b,"Demand
>1,100 Mt",3727.2911767446194,6151.1070616367415
b,"Demand
>1,100 Mt",3573.816164420707,6444.016921714668
b,"Demand
>1,100 Mt",2607.7840792466154,7322.746501948464
b,"Demand
<1,000 Mt",7293.140151310744,5425.170611603079
b,"Demand
<1,000 Mt",6298.218085542795,5479.422317719127
b,"Demand
<1,000 Mt",5370.574806951727,5696.429142183245
b,"Demand
<1,000 Mt",4753.202212785694,5967.687672763403
b,"Demand
<1,000 Mt",3817.714325581564,6781.463264503857
b,"Demand
>1,100 Mt",4582.772446734221,3239.212166172694
b,"Demand
>1,100 Mt",3654.643507532526,3271.6042878344037
b,"Demand
>1,100 Mt",2660.4015957585348,3401.1727744813206
b,"Demand
>1,100 Mt",1932.0669221497717,3563.1333827899507
b,"Demand
>1,100 Mt",1259.0219187260986,4049.0152077158623
b,"Demand
<1,000 Mt",5361.5663021546625,4125.206745547438
b,"Demand
<1,000 Mt",4324.986545634762,4166.45881300292
b,"Demand
<1,000 Mt",3461.0533178164583,4331.467082824818
b,"Demand
<1,000 Mt",2933.347317080002,4537.727420102182
b,"Demand
<1,000 Mt",2092.7068000039035,5156.50843193431
b,"Demand
>1,100 Mt",4519.586768022609,3226.584612132002
b,"Demand
>1,100 Mt",3860.9134011266538,3258.8504582533255
b,"Demand
>1,100 Mt",3006.630984345308,3387.913842738604
b,"Demand
>1,100 Mt",2256.900471989711,3549.243073345194
b,"Demand
>1,100 Mt",1414.4754343145266,4033.2307651650135
b,"Demand
<1,000 Mt",4613.122827594078,2898.4401681209097
b,"Demand
<1,000 Mt",3427.5462077001034,2927.424569802103
b,"Demand
<1,000 Mt",2287.0535002275,3043.362176526941
b,"Demand
<1,000 Mt",1720.6156645998683,3188.2841849329834
b,"Demand
<1,000 Mt",1049.4162624857363,3623.0502101511393
b,"Demand
>1,100 Mt",7157.563783793247,3795.63895805889
b,"Demand
>1,100 Mt",5828.296356722076,3833.595347639481
b,"Demand
>1,100 Mt",4609.506134397724,3985.420905961839
b,"Demand
>1,100 Mt",4083.412301481625,4175.202853864792
