"Basin_ID","stress"
26088,3.32103621165309e-06
2077,NA
13455,0
408,NA
47782,0.00995413166513465
345,NA
39108,0.0931111147582469
37772,0.00153409414201643
2576,NA
55818,0.015052187200785
56034,1.69621241819251e-05
29405,0.0838448876406834
44311,0.0562179498304969
5823,2.04940958426373e-06
66522,3.79090598644104e-05
39,NA
33304,0.0503294807321101
66914,1
18791,0.00069778307532073
56964,0.00834636132248351
66917,NA
56611,2.22769691972402e-05
66521,0.000423037390134175
66920,0
64257,0.225518668280082
66922,0
33511,0.0290060269470825
56042,1.0537191256794e-05
374,NA
3888,4.16206899616089e-07
66927,NA
23522,1.72466104145329e-05
5174,0.00145346192505372
5387,5.56740826536338e-06
16453,0.000570161268079553
22026,2.12484553819906e-06
65944,0.062326867070523
49673,0.000805810536632042
3994,0
32941,0.0875481100133531
11793,0
44316,0.0718939071433368
49267,0.0041212351358577
18377,0.00149860922603846
47998,0.117372051690974
48755,0.0426753033399927
55625,0.045259212217829
66944,0
54450,0.122876170921324
42297,0.0551892657049176
66342,0.00740019575282823
4272,0
20323,NA
5704,0
57994,5.69839745945091e-05
66952,0
66861,0.00106405623065828
3212,1.33834679814373e-05
47281,0.366087458195903
47789,0.00192486029227451
55847,1.81228717286601e-05
55238,0.0130746991343736
37224,0.0625515223149071
10122,0.000965080533182805
15084,NA
37552,7.24045721326541e-05
52486,0.00238779448788885
65978,0.0714126221304544
62127,0.000884035834597356
4800,4.64026925239915e-06
49516,0.00151381380394037
36588,0.076376526688137
7099,0
7048,8.4076221710822e-06
66971,0.000314181134760869
66972,NA
26655,0.0689558162949803
20413,0
44799,0.0255503837761419
35582,0.191495247806781
13990,0
6245,1.55222028136608e-06
38722,0.00184208953060618
66980,NA
54646,2.9769411212556e-05
66982,NA
9825,0.000108279771302794
66984,0.000445116732958879
65876,0.00569570100089836
52219,6.438648547206e-05
38919,0.211524635406119
2581,NA
66989,NA
4195,3.07917283023286e-06
62303,0.0850115764775065
782,NA
6083,0
8200,1.14309780041743e-05
7773,3.82993204000028e-05
65421,0.0934615352043428
14369,2.73750690519626e-06
66998,6.50051004458373e-07
461,NA
57989,5.00396017533486e-07
58601,0.0014261937883259
47944,0.0374216713030701
23416,0
67004,0.0013309431400884
35242,0.265533021010828
15460,NA
5618,0
15070,0
17494,0
67010,NA
8272,0
22044,8.36058884055395e-06
13457,0
40758,0.0236511396529343
105,NA
55747,0.0839632106940525
6744,2.72999021666697e-06
60353,0.00139847249573532
67019,0.000135120692889096
3606,1.55398973066e-05
50269,0.000832115006687298
40171,0.00404059101986882
4547,0
54045,6.89150739219167e-05
2520,NA
16423,4.08548335968156e-05
1242,NA
48962,0.0136785416019775
11770,0
67030,NA
67031,0
1279,NA
67033,NA
5593,1
19041,2.88720708380847e-06
3959,NA
8864,0
67038,0
6646,0
54590,0.00360341487101513
50884,0.000936536574753298
25375,0.0101616943024599
7669,0
2979,0
6446,1.72768522214647e-05
23580,0.0097678751125305
54242,0.000269913864546254
14006,NA
67049,NA
22335,0.0564634418588533
67051,8.51568952244971e-07
12166,7.29912001003856e-07
67053,0
65838,0.0349294230366465
62882,0.000478475431569385
27063,0.00203578427730428
6227,0.000160937467323848
49449,0.0100817258287663
8945,0.00119319697804569
12958,0.000156020543091148
16417,2.59548975888923e-06
50260,0.00318249191504442
2368,NA
49714,0.00228420158662352
67065,NA
43611,0.419320647076715
67067,0
42358,0.0179540327699723
49090,0.0775439041630464
31392,0.0195088989703928
67071,0
13008,0.00010043661804665
49916,0.0450301092976053
54396,0.00363035822012276
67075,7.40584081568477e-05
38478,0.00337956590330705
20304,0.000350865830237524
3051,NA
23119,0.00157503323564407
49888,0.199793693304636
30638,0.000407496602689658
44873,0.00178152594211527
62711,0.0373276283095248
66270,0.0112458596653857
2696,5.52430965137309e-06
4893,0
47574,0.000251125339498519
8213,0
20053,0.0401758395351477
3538,2.69210515569095e-06
5768,4.4004619609344e-05
47338,0.00924900434468993
55072,4.08766744570803e-05
279,NA
52325,0.000875656513170761
30080,1
8206,0
7158,0
23426,1.23598402320115e-07
67100,NA
37989,0.0105679048942194
66851,0.000157841808772935
28850,0.0201702654926601
173,NA
17822,NA
504,NA
1663,0
32642,0.04375985929041
67109,NA
67110,0
5374,5.50524881308679e-06
67112,NA
16425,2.92912414676714e-05
6459,0.000724917561114361
12903,0
1696,NA
67117,NA
21137,1.98950444821577e-05
58928,3.18502613327074e-05
57370,3.13494141079996e-05
11281,0.00178475962863498
3245,NA
8271,0
50058,1
3599,6.35823181698774e-05
67126,NA
40295,0.10922472599287
5701,0
20833,8.99948402252574e-12
34238,0.416254234270502
6025,1
49101,0.666449080492474
10427,7.72905478151921e-05
26230,0.0204296362155374
65788,0.00257273574025124
54718,0.00803384972153876
2319,NA
32049,0.0824606134649383
65910,0.233572855800933
61752,0.00350973927042294
33699,0.276121239299117
24041,0.00459470321200255
27655,0.0570139971499741
3952,0
49678,0.0283954056174526
50771,0.0400970236276724
47787,0.000637251572520024
67148,NA
9411,0
53314,0.00617136520317371
30082,0.00304675088309185
6644,0
67153,NA
27509,2.34693664112997e-06
4188,3.99139716547565e-06
6447,0.000191407678638039
25227,6.47916408794802e-06
64763,0.0161954558155887
48905,1
18786,0.00424475664799717
11181,0
25363,1.94177340671899e-06
54383,0.00138507772011822
922,NA
55245,0.00185521510150631
4057,0
2357,0
34711,0.00575126606998436
52629,0.000436701259441674
35385,0.202061088154244
44009,0.120203623210666
67172,NA
66158,0.00548267399543727
2787,NA
49908,0.103347454087157
44055,0.00537914991493298
34914,0.000365248277974813
67178,0.00257492805892384
46669,0.392091590281779
3040,NA
56803,7.18242580744911e-06
67182,0
67183,0
36819,NA
1705,NA
46381,0.115407787884274
2518,NA
29577,0.00615214339408525
2795,NA
373,NA
54232,0.000237307926194827
67192,0
39265,1
51807,0.000196363894966304
30583,0.00412882654677052
30783,0.128909890452212
67197,NA
38245,0.0362663594868204
36721,0.00166174575179809
7159,0
41855,0.394869734694988
17351,1.90390278906306e-05
50886,0.0158220003371305
14338,3.83240009447618e-05
55023,0.000237947180979754
37162,0.00207057758220564
5172,1
24945,0.0182598829524474
347,NA
67210,0
27519,0.0116855081099643
66074,0.0169926654506634
48332,0.394688661903116
38168,0.00561384273534739
67215,NA
3605,6.73520785286436e-06
8809,0
50869,0.0205452398480069
63903,1.97998518235046e-05
56936,0.00180591331324693
60646,0.00071863888504047
56225,1.56492022989432e-05
19578,3.3512810663706e-08
53668,0.0385393372870906
30642,0
41,NA
49702,0.729773594015599
67228,0
20703,5.54025194840828e-06
59201,0.0413414820236713
7884,8.10900473738432e-06
1754,NA
606,NA
6085,0
26225,0.000261907799513794
32608,0.21924387255498
48571,0.0113518299503034
5702,0
48527,0.0048338329209694
53464,0.00895297610438518
65416,0.00401868948231204
21006,0.0149215964863256
2072,NA
7115,0
57677,0.000312979658034855
22050,1.23683077751784e-06
3958,0
67248,5.30814308794553e-07
47365,0.836990488052844
13499,0.000962038311272372
44858,0.54412243853467
6746,4.23136881290643e-05
3608,1.53513011099088e-05
50271,0.048200587492562
30401,0.03465559437047
1143,0
1272,NA
27934,7.33934913428466e-05
17384,4.876211141597e-06
65725,0.0262006379050827
3520,NA
28347,0.00519395331899636
63335,0.010258201010296
7829,8.21727712212998e-06
66438,6.30898227481771e-05
5661,0
6986,1.13725304770004e-05
60405,0.000865558366367174
67269,0.0240454393976961
35732,0.0157231200758164
1250,NA
23740,0.0213407637860716
36575,0.0142741811871932
9804,2.22239949978313e-06
6141,NA
29987,0.000170620020004445
36723,0.342897871482124
4193,1.44116339112101e-05
21338,0.0276062817007003
67280,NA
11214,0
3961,NA
35013,0.000908021908381731
12920,NA
2350,0
7103,0
21776,0.0173071930675037
49313,0.0481961776971176
31546,0.062048966628697
1469,NA
16068,0
35591,0.0314984215664135
4055,0
67294,4.91204587680219e-05
50120,0.000430867542834817
6701,0.000226679198454862
61223,0.00023469175602281
11280,0.000178693677985683
38301,0.0064453175633984
67300,NA
8811,0
63008,0.001115363890539
3033,NA
4817,1.01642903483307e-05
22477,1.46051344625311e-05
58922,0.00821950654095089
67307,0
56984,0.241570520554427
29378,0.015304178134671
49656,0.0242425042084338
67311,0
19481,2.03774741176776e-05
46851,0.000154015525244047
2519,NA
45322,0.849752119856981
3127,0
1070,NA
15952,8.41405914207531e-07
54433,3.3432414134794e-05
63371,0.00169864453703943
14002,0
66685,0.000305845999877532
50498,0.0123132611803249
67324,NA
17383,NA
66235,0.000807982815442161
66159,0.0362667352051351
67328,NA
52640,0.000172667059588495
31757,0.001262218275997
33697,0.480761070449817
43183,0.311374229457776
56951,0.0353797274854047
4551,0
9431,NA
28333,0.00181199892405255
3540,3.20865741138059e-06
67338,NA
2054,3.4876305080755e-06
36728,0.493903741674972
18780,0.000146147876824511
1109,NA
19195,0.000204314451285349
1281,NA
30645,0.0054497807477681
67346,NA
42166,0.222385982490873
49273,0.000326265005922406
6606,0
16625,0.0414750761801015
10133,1.97823116145765e-05
6544,2.00736585979947e-05
40261,1
65583,0.028529800931828
