"Scenario","country","delta_water","delta_profit","delta_revenue","gdp_share","GDP","Region","share_gdp_bin"
"bold('5% Cost Increase')","Mali",0.582067855358998,6.22391663703817,6.22391663703817,0.0143065474604056,26794747239.8805,"Middle East & Africa","1–5%"
"bold('5% Cost Increase')","Mauritania",0,0,0,0,10908045686.8808,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Mexico",-163.901253964721,-41.8400394024109,-41.8400394024109,0.00346151811656843,1856365616165.94,"Latin America","0.1–1%"
"bold('5% Cost Increase')","Mongolia",3.91025418420301,25.0425146086043,25.0425146086043,0.194165821781726,23794540024.5132,"Asia & Oceania","10–20%"
"bold('5% Cost Increase')","Morocco",0.195329178316754,0.0252648560895734,0.0252648560895734,0.00181328874062951,160610994054.734,"Middle East & Africa","0.1–1%"
"bold('5% Cost Increase')","Myanmar",0.0140160539365601,0.0731853553794175,0.0731853553794175,0,74068349523.8095,"Asia & Oceania","<0.1%"
"bold('5% Cost Increase')","Namibia",0.650734016132786,0.892581862988724,0.892581862988724,0.00235219792654755,13372354511.716,"Middle East & Africa","0.1–1%"
"bold('5% Cost Increase')","New Caledonia",-0.0246792748848041,-1.37216453400228,-1.37216453400228,0.142333648202815,8548919387.12607,"Asia & Oceania","10–20%"
"bold('5% Cost Increase')","North Macedonia",0,0,0,0.00587380217065179,16951682245.4202,"Europe","0.1–1%"
"bold('5% Cost Increase')","Norway",0.0505454710022943,1.11679225144031,1.11679225144031,0,483592648313.301,"Europe","<0.1%"
"bold('5% Cost Increase')","Oman",0,0,0,0.000769523998252776,107137198769.386,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Pakistan",-129.161113773908,-25.2360220499451,-25.2360220499451,0,371570000121.266,"Asia & Oceania","<0.1%"
"bold('5% Cost Increase')","Panama",0.023002862388399,0.222611831949171,0.222611831949171,0,86523959131.7472,"Latin America","<0.1%"
"bold('5% Cost Increase')","Papua New Guinea",0.0507754468422902,1.41016900723988,1.41016900723988,0.0321549951872749,31800428265.5246,"Asia & Oceania","1–5%"
"bold('5% Cost Increase')","Peru",-34.0385865915641,58.6722005760546,58.6722005760546,0.0817722869885143,289221969062.941,"Latin America","5–10%"
"bold('5% Cost Increase')","Philippines",-4.86208597744557,9.74763122516632,9.74763122516632,0.00312566398552816,461617509782.355,"Asia & Oceania","0.1–1%"
"bold('5% Cost Increase')","Poland",0.0124246535447661,0.203944276850081,0.203944276850081,0.00440305874468969,917767106146.761,"Europe","0.1–1%"
"bold('5% Cost Increase')","Portugal",-0.0745049376655516,0.103656690726851,0.103656690726851,0.00126968331131275,313271185085.102,"Europe","0.1–1%"
"bold('5% Cost Increase')","Romania",0.170202966974157,0.743033032972027,0.743033032972027,3.65942703321456e-05,382564217988.866,"Europe","<0.1%"
"bold('5% Cost Increase')","Russia",10.4656811660275,60.6968447402177,60.6968447402177,0.00607000587840448,2173835806671.66,"Europe","0.1–1%"
"bold('5% Cost Increase')","Saudi Arabia",0.00343322184161243,-0.016153772385314,-0.016153772385314,0.00043969860683097,1239804533333.33,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Serbia",2.07175574544792,22.7210828557987,22.7210828557987,0.0320491188696238,90097765959.1114,"Europe","1–5%"
"bold('5% Cost Increase')","South Africa",-0.623642195810005,-0.625083157334508,-0.625083157334508,0.00173607407376226,401144998373.585,"Middle East & Africa","0.1–1%"
"bold('5% Cost Increase')","Spain",0.307949670086792,0.738863887281543,0.738863887281543,0.000612165528512989,1725671652742.19,"Europe","<0.1%"
"bold('5% Cost Increase')","Sudan",0,0,0,0,49672435513.1126,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Sweden",0.163057128293967,1.63446276638173,1.63446276638173,0.00136967872387163,603715224265.798,"Europe","0.1–1%"
"bold('5% Cost Increase')","Tanzania",-1.72320244820679,-1.15827649377436,-1.15827649377436,0.000176802854274833,78844405385.2195,"Middle East & Africa","<0.1%"
"bold('5% Cost Increase')","Thailand",0.00407002470646711,0.0521443007752606,0.0521443007752606,0,526517658841.684,"Asia & Oceania","<0.1%"
"bold('5% Cost Increase')","Türkiye",-5.80699644085939,-0.552516847792441,-0.552516847792441,6.90705134928027e-05,1359123768774.12,"Europe","<0.1%"
"bold('5% Cost Increase')","United Kingdom",0.036790048447641,0.377320140777337,0.377320140777337,0,3686033044482.13,"Europe","<0.1%"
"bold('5% Cost Increase')","USA",-425.258315207271,-7.84976920932763,-7.84976920932763,0.000425207246432204,28750956130731.2,"North America","<0.1%"
"bold('5% Cost Increase')","Venezuela",0,-0.0199659158929697,-0.0199659158929697,0,119802963257.783,"Latin America","<0.1%"
"bold('5% Cost Increase')","Vietnam",0,0,0,0.000105092309555033,476388230307.175,"Asia & Oceania","<0.1%"
"bold('5% Cost Increase')","Zambia",0.316186431851595,2.10450469141313,2.10450469141313,0.276870363544636,25303185342.2511,"Middle East & Africa",">20%"
"bold('5% Cost Increase')","Zimbabwe",0.0806681130333993,0.482910399530091,0.482910399530091,0.0342595291983705,41539411516.4448,"Middle East & Africa","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Albania",-7.63278329429795e-17,0.0013359829060744,0.0013359829060744,0,27046429296.6673,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Angola",0.0836073141907541,0.424266594472321,0.424266594472321,0,100998916781.079,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Argentina",60.2766977628059,47.7594690529812,47.7594690529812,0.00185244958238528,638365455340.04,"Latin America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Armenia",-93.9191519052009,-7.93598128791586,-7.93598128791586,0.0260864745327443,25955275380.0321,"Europe","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Australia",124.645912743057,70.0770801928683,70.0770801928683,0.00749551897472183,1757022451652.83,"Asia & Oceania","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Austria",0.0116569467553663,0.218288779291346,0.218288779291346,0,534790720466.822,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Azerbaijan",3.78305868478711,1.12418393545747,1.12418393545747,0.00106047735480625,74315882352.9412,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Bolivia",0.00702440816443502,0.0586300131538026,0.0586300131538026,0,54881327452.9667,"Latin America","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Botswana",0.213889720732469,0.241140431802108,0.241140431802108,0.0660125434244523,19402063512.9066,"Middle East & Africa","5–10%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Brazil",-6.21638485168464,-157.603147107963,-157.603147107963,0.00289259774434687,2185821648943.86,"Latin America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Bulgaria",0,0.22100986596916,0.22100986596916,0.00125518428516237,113343355779.985,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Canada",13.2824817794847,142.176050612572,142.176050612572,0.00248591080926174,2243636826633.76,"North America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Chile",-390.911359275719,-10.5088212372181,-10.5088212372181,0.177877324749902,330267137371.592,"Latin America","10–20%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","China",-7.72468347764443,-54.8656285035614,-54.8656285035614,0.000806223591324593,18743803170827.2,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Colombia",-0.265035253897926,-14.4695144524514,-14.4695144524514,0.00134523865530147,418818154879.271,"Latin America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Côte d'Ivoire",0.0857290572189855,0.623695675182395,0.623695675182395,0,87113179149.284,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Cuba",0.102439721902901,3.52982530049785,3.52982530049785,0.00629074310313668,1.07352e+11,"Latin America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Czechia",1.85340494725547,4.77389228198871,4.77389228198871,0,347034062928.479,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Dem. Rep. Congo",-22.3948157889916,-682.831943674481,-682.831943674481,0.360681142750599,70962185790.7094,"Middle East & Africa",">20%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Dominican Republic",0.0752713406257992,-0.0230411709163718,-0.0230411709163718,0.000640933561879245,124282245638.568,"Latin America","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Ecuador",1.54889295947519,40.9748039026852,40.9748039026852,0.00958363453860153,124676074700,"Latin America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Eritrea",0,0.0278894521647226,0.0278894521647226,0.213327317301843,2065001626.01626,"Middle East & Africa",">20%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Ethiopia",1.14505663292744,0.890443599861345,0.890443599861345,0,149740297952.986,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Finland",0.305301254727103,3.30062824449282,3.30062824449282,0.00305718601833225,298696961297.656,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","France",0.955416373908859,5.23363679446092,5.23363679446092,0,3160442622465.08,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Georgia",-7.7715611723761e-15,-2.88657986402541e-15,-2.88657986402541e-15,0,34189423544.9955,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Germany",1.34350073380635,4.16658302057075,4.16658302057075,0,4685592577804.69,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Ghana",0,0,0,0,82308110386.4641,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Greece",-3.48069904937463,-1.93888329286094,-1.93888329286094,0.000194293359106202,256238371778.118,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Guatemala",-0.00849625622643969,-1.94746841746649,-1.94746841746649,0,113199581158.203,"Latin America","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Guinea",0,0,0,0,25008678293.4084,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","India",1.77635683940025e-15,0.0226276270645513,0.0226276270645513,0.000114598761111907,3909891533858.08,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Indonesia",0.790978186367198,101.834308512264,101.834308512264,0.00692430381350141,1396300098190.97,"Asia & Oceania","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Iran",16.1465465346955,12.0683193506295,12.0683193506295,0.00546825288930409,475252089215.416,"Middle East & Africa","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Kazakhstan",26.7011628907314,19.5548465031287,19.5548465031287,0.0217680659022913,291480274648.826,"Asia & Oceania","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Laos",-1.19761447003132,-7.0698862670064,-7.0698862670064,0.0181005692570987,16502933121.3379,"Asia & Oceania","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Madagascar",0.109820324340086,10.8656167698807,10.8656167698807,0.027912884451747,17420501490.1231,"Middle East & Africa","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Malaysia",0.0117586683232109,0.37500786859448,0.37500786859448,0,422227005428.688,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Mali",0.756181060870569,8.56077537274912,8.56077537274912,0.0143065474604056,26794747239.8805,"Middle East & Africa","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Mauritania",0,0,0,0,10908045686.8808,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Mexico",138.143464964448,55.781760092611,55.781760092611,0.00346151811656843,1856365616165.94,"Latin America","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Mongolia",8.22912133196735,28.6330749308364,28.6330749308364,0.194165821781726,23794540024.5132,"Asia & Oceania","10–20%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Morocco",0.707731513469616,0.75916981314168,0.75916981314168,0.00181328874062951,160610994054.734,"Middle East & Africa","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Myanmar",-0.0363735935651937,-3.81222837855227,-3.81222837855227,0,74068349523.8095,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Namibia",1.93320522778952,1.78332024545217,1.78332024545217,0.00235219792654755,13372354511.716,"Middle East & Africa","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","New Caledonia",-0.920302705103064,-33.9509097658668,-33.9509097658668,0.142333648202815,8548919387.12607,"Asia & Oceania","10–20%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","North Macedonia",1.4111088565943,0.440920857817911,0.440920857817911,0.00587380217065179,16951682245.4202,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Norway",0.0540818783263567,1.44996989309615,1.44996989309615,0,483592648313.301,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Oman",0,0,0,0.000769523998252776,107137198769.386,"Middle East & Africa","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Pakistan",97.8973788605235,38.0842963627292,38.0842963627292,0,371570000121.266,"Asia & Oceania","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Panama",0.0790384087439097,1.53805180357212,1.53805180357212,0,86523959131.7472,"Latin America","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Papua New Guinea",0.582219016409295,27.6386097131402,27.6386097131402,0.0321549951872749,31800428265.5246,"Asia & Oceania","1–5%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Peru",118.626079571564,-16.1811602246351,-16.1811602246351,0.0817722869885143,289221969062.941,"Latin America","5–10%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Philippines",1.70199988952461,14.097602946668,14.097602946668,0.00312566398552816,461617509782.355,"Asia & Oceania","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Poland",0.0124246535442225,2.81287702276913,2.81287702276913,0.00440305874468969,917767106146.761,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Portugal",0.545851965083521,0.557840945674279,0.557840945674279,0.00126968331131275,313271185085.102,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Romania",0.90420326205021,4.84642465174741,4.84642465174741,3.65942703321456e-05,382564217988.866,"Europe","<0.1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Russia",11.6800502136375,74.3421819074919,74.3421819074919,0.00607000587840448,2173835806671.66,"Europe","0.1–1%"
"bold('+5% Cost + Protect Fish-Rich Basins > 70')","Saudi Arabia",1.12749629903752,0.538806648522319,0.538806648522319,0.00043969860683097,1239804533333.33,"Middle East & Africa","<0.1%"
